Frame,Person_ID,Group_ID,X_Pixel,Y_Pixel,X_Real_m,Y_Real_m,Pose_Vec_X,Pose_Vec_Y,Motion_Vec_X,Motion_Vec_Y
0,1,0,1412.84,924.04,3.689,6.751,0.972,-0.236,,
0,2,0,1480.1,922.5,3.913,6.639,-0.981,-0.194,,
0,3,1,1144.38,713.61,2.952,1.487,-0.234,-0.972,,
0,4,-1,1114.07,817.89,2.657,5.206,,,,
0,5,-1,1584.55,814.79,4.725,4.569,-0.98,-0.2,,
0,6,2,685.39,710.59,-1.347,1.36,0.137,0.991,,
0,7,2,577.07,726.99,-2.305,2.461,-0.988,-0.156,,
0,8,1,1175.41,720.83,3.148,1.834,-0.981,-0.197,,
0,9,-1,1198.93,682.53,3.451,-0.279,-0.162,0.987,,
0,10,2,528.59,728.4,-2.896,2.587,-0.281,0.96,,
0,11,-1,801.71,668.39,-0.727,-2.051,-0.997,-0.076,,
0,12,2,444.8,748.0,-3.396,3.8,-0.988,-0.157,,
0,13,-1,893.44,661.92,0.391,-2.468,0.258,-0.966,,
0,14,-1,782.98,959.75,1.311,8.245,,,,
0,15,3,921.89,645.3,0.544,-4.246,,,,
0,16,-1,1237.84,645.62,3.998,-3.065,,,,
0,17,4,1828.12,780.56,5.851,3.524,,,,
0,18,3,1008.38,643.09,1.648,-4.131,,,,
0,19,4,1466.21,755.21,4.597,3.036,,,,
1,1,0,1412.8,924.16,3.689,6.753,0.975,-0.223,,
1,2,0,1480.12,923.15,3.911,6.648,-0.975,-0.223,,
1,3,1,1144.33,713.37,2.952,1.475,-0.238,-0.971,,
1,4,-1,1114.3,818.25,2.658,5.214,,,,
1,5,-1,1584.35,815.53,4.72,4.586,-0.979,-0.206,,
1,6,2,684.41,712.22,-1.325,1.47,-0.051,0.999,,
1,7,2,576.55,726.43,-2.327,2.427,-0.985,-0.172,,
1,8,1,1175.65,721.45,3.148,1.863,-0.981,-0.195,,
1,9,-1,1197.67,682.75,3.44,-0.266,-0.108,0.994,,
1,10,2,527.73,730.26,-2.851,2.701,-0.196,0.981,,
1,11,-1,801.1,669.96,-0.702,-1.893,-0.486,0.874,,
1,12,2,444.7,748.05,-3.396,3.803,-0.99,-0.142,,
1,13,-1,893.5,662.05,0.394,-2.454,0.275,-0.961,,
1,14,-1,782.87,959.55,1.31,8.242,,,,
1,15,3,921.29,645.27,0.535,-4.254,,,,
1,16,-1,1237.83,645.07,4.002,-3.115,,,,
1,17,4,1828.71,780.35,5.854,3.518,,,,
1,18,3,1008.41,643.53,1.651,-4.079,,,,
1,19,4,1466.37,755.31,4.597,3.039,,,,
1,20,-1,1057.93,655.99,2.25,-2.597,,,,
1,21,-1,341.75,826.63,-2.566,6.933,,,,
2,1,0,1412.94,925.1,3.687,6.766,0.413,-0.911,,
2,2,0,1480.47,923.64,3.911,6.655,-0.973,-0.232,,
2,3,1,1144.26,713.16,2.952,1.465,-0.28,-0.96,,
2,4,-1,1114.48,818.34,2.659,5.216,,,,
2,5,-1,1584.5,815.7,4.719,4.59,-0.979,-0.202,,
2,6,2,683.33,714.32,-1.294,1.609,-0.005,1.0,,
2,7,2,575.33,725.68,-2.362,2.382,-0.987,-0.162,,
2,8,1,1174.01,720.2,3.141,1.805,-0.979,-0.202,,
2,9,-1,1197.16,682.58,3.437,-0.277,-0.134,0.991,,
2,10,2,526.11,730.6,-2.863,2.723,-0.196,0.981,,
2,11,-1,800.01,670.46,-0.707,-1.844,-0.486,0.874,,
2,12,2,444.0,747.85,-3.411,3.794,-0.991,-0.134,,
2,13,-1,893.4,662.28,0.396,-2.43,0.307,-0.952,,
2,14,-1,782.61,959.48,1.308,8.242,,,,
2,15,3,920.69,645.08,0.524,-4.28,,,,
2,16,-1,1237.53,645.24,3.998,-3.101,,,,
2,17,4,1828.61,780.59,5.852,3.524,,,,
2,18,3,1008.42,643.45,1.651,-4.088,,,,
2,19,4,1466.28,755.18,4.597,3.035,,,,
2,20,-1,1057.89,656.07,2.25,-2.589,,,,
2,21,-1,335.99,826.16,-2.629,6.936,-0.631,0.776,,
3,1,0,1413.02,924.44,3.689,6.757,0.161,-0.987,,
3,2,0,1479.48,922.79,3.91,6.644,-0.969,-0.246,,
3,3,1,1144.07,713.11,2.95,1.462,-0.267,-0.964,,
3,4,-1,1114.36,818.36,2.659,5.217,,,,
3,5,-1,1583.52,814.81,4.721,4.571,-0.978,-0.21,,
3,6,-1,681.77,714.55,-1.308,1.624,0.229,0.973,,
3,7,2,574.45,724.47,-2.406,2.307,-0.987,-0.16,,
3,8,1,1172.49,719.75,3.132,1.784,-0.983,-0.186,,
3,9,-1,1196.75,682.78,3.433,-0.265,-0.65,0.76,,
3,10,2,524.03,729.89,-2.911,2.683,-0.196,0.981,,
3,11,-1,798.84,670.65,-0.719,-1.829,-0.208,0.978,,
3,12,2,443.67,748.02,-3.41,3.803,-0.993,-0.119,,
3,13,-1,893.49,661.93,0.392,-2.466,0.309,-0.951,,
3,14,-1,782.49,959.53,1.308,8.243,,,,
3,15,3,920.48,645.0,0.52,-4.291,,,,
3,16,-1,1237.59,645.23,3.999,-3.102,,,,
3,17,4,1829.71,780.55,5.856,3.523,,,,
3,18,3,1008.43,643.94,1.654,-4.031,,,,
3,19,4,1466.16,755.24,4.596,3.037,,,,
4,1,0,1413.11,924.65,3.688,6.76,0.844,-0.537,,
4,2,0,1478.33,922.55,3.907,6.642,-0.969,-0.246,,
4,3,1,1143.96,712.94,2.95,1.454,-0.287,-0.958,,
4,4,-1,1114.21,818.4,2.658,5.218,,,,
4,5,-1,1582.82,814.07,4.722,4.555,-0.976,-0.217,,
